frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond
canonical_orbitals,block2_pauli,1,-107.49650051179765,0.15762193572489025,False,0.29871195899977465,1
canonical_orbitals,block2_pauli,2,-107.54147230699562,0.11265014052692379,False,0.44945458300207974,2
canonical_orbitals,block2_pauli,3,-107.59103875322616,0.06308369429638105,False,1.015847415997996,3
canonical_orbitals,block2_pauli,4,-107.61084114141251,0.04328130611003189,False,1.1453772079985356,4
canonical_orbitals,block2_pauli,5,-107.61483841509269,0.03928403242984757,False,1.117376874997717,5
canonical_orbitals,block2_pauli,6,-107.62330772459134,0.030814722931197025,False,1.2618344170005003,6
canonical_orbitals,block2_pauli,7,-107.62663265838171,0.027489789140830112,False,1.6907868749985937,7
canonical_orbitals,block2_pauli,8,-107.63393724043475,0.020185207087791923,False,1.4478155420001713,8
canonical_orbitals,block2_pauli,9,-107.63508016673988,0.019042280782656462,False,1.7972521250012505,9
canonical_orbitals,block2_pauli,10,-107.64020602498258,0.013916422539963946,False,1.8529872079998313,10
canonical_orbitals,block2_pauli,12,-107.6463486709449,0.007773776577636227,False,1.2792663750005886,12
canonical_orbitals,block2_pauli,14,-107.64909025509054,0.005032192431997373,False,0.5693930000015825,14
canonical_orbitals,block2_pauli,16,-107.65039254496628,0.003729902556258935,False,0.5353639999993902,16
canonical_orbitals,block2_pauli,18,-107.65101023036101,0.003112217161529429,False,0.6796322499976668,18
canonical_orbitals,block2_pauli,20,-107.6512949308326,0.002827516689933418,False,0.7317856660010875,20
canonical_orbitals,block2_pauli,30,-107.65394848405981,0.00017396346272846586,True,6.510081083000841,30
optimized_orbitals,block2_pauli,1,-107.49615363095194,0.1579688165706017,False,5.432371458999114,1
optimized_orbitals,block2_pauli,2,-107.54155487081468,0.11256757670786044,False,6.509970417002478,2
optimized_orbitals,block2_pauli,3,-107.59329161701005,0.0608308305124865,False,7.954910832999303,3
optimized_orbitals,block2_pauli,4,-107.61666540052884,0.03745704699369412,False,6.576113041999633,4
optimized_orbitals,block2_pauli,5,-107.61816970445551,0.03595274306702834,False,8.5209554580033,5
optimized_orbitals,block2_pauli,6,-107.63052792060645,0.0235945269160851,False,8.122859416998836,6
optimized_orbitals,block2_pauli,7,-107.63402920512802,0.02009324239452326,False,8.270276167000702,7
optimized_orbitals,block2_pauli,8,-107.64035878105236,0.013763666470183011,False,11.584059584001807,8
optimized_orbitals,block2_pauli,9,-107.64151824705064,0.012604200471898253,False,8.692238582996652,9
optimized_orbitals,block2_pauli,10,-107.64440310421239,0.00971934331015234,False,8.754465540998353,10
optimized_orbitals,block2_pauli,12,-107.64894897550724,0.005173472015300717,False,9.961158292000619,12
optimized_orbitals,block2_pauli,14,-107.65070818523178,0.0034142622907609166,False,11.680052916999557,14
optimized_orbitals,block2_pauli,16,-107.65255900218679,0.001563445335747815,True,7.900436334002734,16
