system,frame,first_converged_bond_dim,converged_within_grid,mpo_bond_dimension,first_converged_dmrg_seconds
H4rect_corr,seniority_Nover2,4,True,33,0.06436095800017938
H4rect_corr,HCT_Nover2_Comm,2,True,47,0.06742066700098803
H4rect_corr,HCT_N_Comm,2,True,42,0.08237258300505346
H4rect_corr,Pauli_BLISS+HCT_N_Comm,2,True,42,0.08628837500145892
H4rect_corr,BS_Nover2_Comm,2,True,47,0.06693595799879404
H4rect_corr,BS_N_Comm,2,True,53,0.08586004099925049
H4rect_corr,HCT_N_Comm_Fiedler,2,True,51,0.07485425000049872
H4rect_corr,BS_N_Comm_Fiedler,2,True,53,0.1060373329964932
H4rect_diss,raw_fermionic_su2,3,True,27,0.023297958003240637
H4rect_diss,raw_qubit,8,True,40,0.09072754199587507
H4rect_diss,seniority_Nover2,4,True,37,0.18196795899712015
H4rect_diss,HCT_Nover2_Comm,2,True,41,0.07356312499905471
H4rect_diss,HCT_N_Comm,2,True,49,0.07420804199500708
H4rect_diss,Pauli_BLISS+HCT_N_Comm,2,True,48,0.07904187500389526
H4rect_diss,BS_Nover2_Comm,2,True,41,0.06730050000624033
H4rect_diss,BS_N_Comm,2,True,50,0.07606337500328664
H4rect_diss,HCT_N_Comm_Fiedler,2,True,53,0.08235933299874887
H4rect_diss,BS_N_Comm_Fiedler,2,True,50,0.08014891699713189
LIH_corr,raw_fermionic_su2,2,True,51,0.054258458003459964
LIH_corr,raw_qubit,4,True,103,0.2806465419998858
LIH_corr,seniority_Nover2,3,True,115,0.2668987080032821
LIH_corr,HCT_Nover2_Comm,4,True,166,0.184609707997879
LIH_corr,HCT_N_Comm,2,True,173,0.15426720899995416
LIH_corr,Pauli_BLISS+HCT_N_Comm,3,True,189,0.17559341699961806
LIH_corr,BS_Nover2_Comm,4,True,166,0.16854891699767904
LIH_corr,BS_N_Comm,2,True,170,0.1651426660027937
LIH_corr,HCT_N_Comm_Fiedler,2,True,200,0.20734520800033351
LIH_corr,BS_N_Comm_Fiedler,2,True,271,0.18071475000033388
LIH_eqm,raw_fermionic_su2,3,True,51,0.04170341700228164
LIH_eqm,raw_qubit,4,True,103,0.17090583299432183
LIH_eqm,seniority_Nover2,2,True,115,0.16318049999972573
LIH_eqm,HCT_Nover2_Comm,3,True,166,0.16840041599789402
LIH_eqm,HCT_N_Comm,2,True,197,0.16686770800151862
LIH_eqm,Pauli_BLISS+HCT_N_Comm,2,True,197,0.18312191600125516
LIH_eqm,BS_Nover2_Comm,3,True,169,0.16736849999870174
LIH_eqm,BS_N_Comm,1,True,204,0.18019283300236566
LIH_eqm,HCT_N_Comm_Fiedler,2,True,310,0.21564329200191423
LIH_eqm,BS_N_Comm_Fiedler,1,True,330,0.18830124999658437
N2_corr,raw_fermionic_su2,30,True,83,0.2822666249994654
N2_corr,raw_qubit,40,True,291,9.89426016699872
N2_corr,seniority_Nover2,16,True,417,2.1985304589979933
N2_corr,HCT_Nover2_Comm,30,True,884,5.3007296249998035
N2_corr,HCT_N_Comm,12,True,734,1.0486049169994658
N2_corr,Pauli_BLISS+HCT_N_Comm,12,True,865,3.6348758340027416
