frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,iteration,representation,reference_method,reference_energy
N2_eqm_iter003_beam_fiedler,block2_pauli,1,-107.58062236437863,0.07349702044746209,False,0.6573175840021577,1,True,False,False,100,7,1e-06,2.203830717917299e-07,0.0,"[-107.6416985528367, -107.58023033350872, -107.58062246202024, -107.58061685309376, -107.58062241161375, -107.58062214399556, -107.58062236437863]","[0.11344491699128412, 0.08888850000221282, 0.09056154201971367, 0.0847385409870185, 0.07975266699213535, 0.08164175000274554, 0.07976083300309256]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter003_beam_fiedler,block2_pauli,2,-107.62441765102017,0.029701733805922004,False,0.6217115840117913,2,True,False,False,100,7,1e-06,2.9821450198141974e-08,0.0,"[-107.64233548489229, -107.62329593120106, -107.62440778342503, -107.62441853048375, -107.62441747785687, -107.62441768084162, -107.62441765102017]","[0.09131345801870339, 0.07517437500064261, 0.09467670798767358, 0.08709583300515078, 0.07739841699367389, 0.07871112501015887, 0.06827116699423641]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter003_beam_fiedler,block2_pauli,3,-107.63986814508951,0.014251239736580601,False,0.58222458299133,3,True,False,False,100,7,1e-06,4.934382218380051e-07,0.0,"[-107.64458409968601, -107.63995555133997, -107.63985983552647, -107.63986247916955, -107.63986746281972, -107.63986765165129, -107.63986814508951]","[0.10343616700265557, 0.07823962499969639, 0.0719259160105139, 0.0790307080023922, 0.07080066701746546, 0.07227262499509379, 0.06659004199900664]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter003_beam_fiedler,block2_pauli,4,-107.64619805692715,0.0079213278989414,False,0.6469435410108417,4,True,False,False,100,7,1e-06,5.1658702204804285e-08,0.0,"[-107.64887090359079, -107.6460615998285, -107.64619666300325, -107.64619826399911, -107.64619800786267, -107.64619810858585, -107.64619805692715]","[0.10146983299637213, 0.08058020801399834, 0.0834245000150986, 0.07944624999072403, 0.08095587498974055, 0.0888619170000311, 0.07942641599220224]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter003_beam_fiedler,block2_pauli,5,-107.6485807694778,0.005538615348285703,False,1.5929827920044772,5,True,False,False,100,18,1e-06,2.454082874692176e-07,0.0,"[-107.64980978755821, -107.64819169248702, -107.64877242944951, -107.64877643595379, -107.64876083606312, -107.64876344627606, -107.64874713768697, -107.64874916996393, -107.64872277666537, -107.64872559007598, -107.64868436362052, -107.64868893102924, -107.648636769448, -107.64864182878017, -107.64860067895512, -107.64860265488682, -107.64858052406952, -107.6485807694778]","[0.1098024999955669, 0.10813058298663236, 0.08589912499883212, 0.08625925000524148, 0.08692049997625872, 0.08599629200762138, 0.0813133750052657, 0.08054204200743698, 0.08745912500307895, 0.08352141600335017, 0.08152112501556985, 0.08322212498751469, 0.08172899999772198, 0.08271291700657457, 0.08000249997712672, 0.07967445900430903, 0.08032541698776186, 0.08004329199320637]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter003_beam_fiedler,block2_pauli,6,-107.65084896563687,0.0032704191892207746,False,0.7945620829996187,6,True,False,False,100,8,1e-06,3.1254708687811217e-07,0.0,"[-107.65053885433846, -107.65064067902013, -107.65085098509817, -107.65085237379634, -107.65084918485942, -107.65085005369747, -107.65084865308978, -107.65084896563687]","[0.10682283298228867, 0.0941418329894077, 0.09607866598526016, 0.09358225000323728, 0.09505129099125043, 0.0930061669787392, 0.08832224999787286, 0.08788725000340492]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter003_beam_fiedler,block2_pauli,7,-107.6519413083595,0.0021780764665919605,False,0.83643949998077,7,True,False,False,100,8,1e-06,2.0162262615031068e-07,0.0,"[-107.65146171546695, -107.65187662030007, -107.65193822234755, -107.65194657915531, -107.65194328252618, -107.65194257082426, -107.65194150998212, -107.6519413083595]","[0.1108254169812426, 0.09898274997249246, 0.09956879197852686, 0.09865191698190756, 0.10087316599674523, 0.09859908299404196, 0.09498945900122635, 0.09352845899411477]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter003_beam_fiedler,block2_pauli,8,-107.65256499320483,0.0015543916212550357,True,0.7021083330037072,8,True,False,False,100,7,1e-06,1.6072476682893466e-11,0.0,"[-107.65219766019162, -107.6524993459775, -107.65251362549037, -107.65253345328523, -107.65253345327574, -107.65256499318876, -107.65256499320483]","[0.11444512498565018, 0.09227066600578837, 0.09572779200971127, 0.09121083398349583, 0.09165816698805429, 0.09103683300781995, 0.08712625000043772]",N2_eqm,3,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
