frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond
raw_canonical_qubit,block2_pauli,1,-107.49650051179765,0.15762193572489025,False,0.2550443340005586,1
raw_canonical_qubit,block2_pauli,2,-107.53451950226793,0.11960294525461279,False,0.29970008400050574,2
raw_canonical_qubit,block2_pauli,3,-107.5762818825281,0.07784056499444603,False,2.422797625000385,3
raw_canonical_qubit,block2_pauli,4,-107.5867882358028,0.0673342117197393,False,1.8105242079982418,4
raw_canonical_qubit,block2_pauli,5,-107.59912705071076,0.05499539681177623,False,0.9923512920031499,5
raw_canonical_qubit,block2_pauli,6,-107.6014026141496,0.05271983337293307,False,1.7338995419995626,6
raw_canonical_qubit,block2_pauli,7,-107.61144181363105,0.0426806338914929,False,0.7309138330019778,7
raw_canonical_qubit,block2_pauli,8,-107.61061192492411,0.04351052259842447,False,6.484017458002199,8
raw_canonical_qubit,block2_pauli,9,-107.616045971157,0.03807647636553213,False,0.6450763329994516,9
raw_canonical_qubit,block2_pauli,10,-107.61855715163713,0.035565295885405135,False,0.8972541670009377,10
raw_canonical_qubit,block2_pauli,12,-107.62856226262122,0.02556018490132317,False,2.097941375002847,12
raw_canonical_qubit,block2_pauli,14,-107.63201401810079,0.022108429421749065,False,2.969658542002435,14
raw_canonical_qubit,block2_pauli,16,-107.63757019322374,0.016552254298801472,False,1.100339000000531,16
raw_canonical_qubit,block2_pauli,18,-107.64017526056199,0.013947186960550084,False,0.8293527499990887,18
raw_canonical_qubit,block2_pauli,20,-107.64081889591446,0.013303551608075281,False,0.7384075000009034,20
raw_canonical_qubit,block2_pauli,30,-107.64944571026797,0.004676737254570185,False,29.198419917000138,30
raw_canonical_qubit,block2_pauli,40,-107.65181396107633,0.0023084864462106225,False,17.6251685419993,40
raw_canonical_qubit,block2_pauli,50,-107.65276398686487,0.0013584606576699798,True,19.486953750001703,50
raw_fermionic_su2,,1,-107.49845898787599,0.15566345964654715,False,0.07661250000091968,1
raw_fermionic_su2,,2,-107.55311630663984,0.10100614088270277,False,0.3248400420015969,2
raw_fermionic_su2,,3,-107.57893495094872,0.07518749657381818,False,0.17504354199991212,3
raw_fermionic_su2,,4,-107.59941883105058,0.05470361647195432,False,0.052718208000442246,4
raw_fermionic_su2,,5,-107.608455991492,0.04566645603054553,False,0.05854850000105216,5
raw_fermionic_su2,,6,-107.61687244075016,0.037250006772381994,False,0.06421933300225646,6
raw_fermionic_su2,,7,-107.62324542061678,0.03087702690575611,False,0.13014433399803238,7
raw_fermionic_su2,,8,-107.6296474740533,0.024474973469239103,False,0.13352058400050737,8
raw_fermionic_su2,,9,-107.63615028192196,0.017972165600582457,False,0.15873958299926016,9
raw_fermionic_su2,,10,-107.6389533027003,0.015169144822237968,False,0.06232962499780115,10
raw_fermionic_su2,,12,-107.64510212817886,0.00902031934367642,False,0.25782087499828776,12
raw_fermionic_su2,,14,-107.64677333933294,0.007349108189600884,False,0.11637133399926824,14
raw_fermionic_su2,,16,-107.64737212255405,0.00675032496849326,False,0.27169516700087115,16
raw_fermionic_su2,,18,-107.64853698628441,0.005585461238126754,False,0.1387343749993306,18
raw_fermionic_su2,,20,-107.65197889759393,0.002143549928604216,False,0.2559965420005028,20
raw_fermionic_su2,,30,-107.65367766799513,0.00044477952741317495,True,0.6814466249998077,30
