frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,iteration,representation,reference_method,reference_energy
N2_eqm_iter001_beam_fiedler,block2_pauli,1,-107.59630997905974,0.05780940576634919,False,0.6699873750039842,1,True,False,False,100,7,1e-06,1.5891716032001568e-07,0.0,"[-107.64198170083486, -107.59624493322886, -107.5963677243362, -107.5963085531947, -107.59631215795592, -107.59630982014258, -107.59630997905974]","[0.10625154100125656, 0.1087693750159815, 0.08459333301289007, 0.08517320800456218, 0.0838270419917535, 0.08422920800512657, 0.07842041601543315]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter001_beam_fiedler,block2_pauli,2,-107.63780260308543,0.016316781740655983,False,0.6480571670108475,2,True,False,False,100,7,1e-06,7.947409130792948e-08,0.0,"[-107.64740287500133, -107.63781462340393, -107.6378326284202, -107.63780730566324, -107.63780700095253, -107.63780268255952, -107.63780260308543]","[0.09846637499867938, 0.07758949999697506, 0.08164908300386742, 0.09343204202014022, 0.08522095798980445, 0.08407475001877174, 0.07507487499970011]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter001_beam_fiedler,block2_pauli,3,-107.6440109703637,0.010108414462393966,False,0.6174068750115111,3,True,False,False,100,7,1e-06,2.5718551910358656e-07,0.0,"[-107.6483199321168, -107.64382987609955, -107.64399472994512, -107.64401168039387, -107.64400986490296, -107.64401122754921, -107.6440109703637]","[0.09786474998691119, 0.08568429099977948, 0.08268441600375809, 0.07820654098759405, 0.07677845799480565, 0.0778685410041362, 0.07293512497562915]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter001_beam_fiedler,block2_pauli,4,-107.64661757552392,0.007501809302169704,False,1.0188636669772677,4,True,False,False,100,11,1e-06,6.967524939227587e-07,0.0,"[-107.6498206646975, -107.6465738306913, -107.64663598969821, -107.64663869198759, -107.6466355729986, -107.64663258010543, -107.6466307012293, -107.64662528344158, -107.6466241591647, -107.64661827227641, -107.64661757552392]","[0.10395249997964129, 0.08934270800091326, 0.08401608301210217, 0.08822854200843722, 0.08435058398754336, 0.08691416602232493, 0.08814795900252648, 0.08400974998949096, 0.08098925001104362, 0.07813375000841916, 0.09553849999792874]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter001_beam_fiedler,block2_pauli,5,-107.64833392173128,0.005785463094809984,False,1.5994723750045523,5,True,False,False,100,17,1e-06,6.494135931234268e-07,0.0,"[-107.65083072670419, -107.64857064948035, -107.6485221337582, -107.64851130118618, -107.64851751569239, -107.64847737508157, -107.64848919443368, -107.64844844019368, -107.64845839722506, -107.64841423830292, -107.6484200895668, -107.64838108972677, -107.6483838788541, -107.6483537084145, -107.64835504785931, -107.64833327231769, -107.64833392173128]","[0.10979683298501186, 0.0895850409870036, 0.09175349998986349, 0.09024233298259787, 0.09314245902351104, 0.09551541702239774, 0.09021591700729914, 0.0895422080066055, 0.0903505000169389, 0.08874091698089615, 0.08838008300517686, 0.08686975002638064, 0.08803666598396376, 0.0868590000027325, 0.08794974998454563, 0.09005025000078604, 0.09236654100823216]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter001_beam_fiedler,block2_pauli,6,-107.65068715087223,0.003432233953859054,False,0.766974541998934,6,True,False,False,100,7,1e-06,9.090329484706672e-07,0.0,"[-107.65122323874508, -107.65073467351831, -107.65073521897939, -107.6507085272614, -107.65070562327226, -107.65068805990518, -107.65068715087223]","[0.12039054199703969, 0.10244195800623856, 0.10175216701463796, 0.09953662499901839, 0.10294145799707621, 0.10053729100036435, 0.09649779199389741]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter001_beam_fiedler,block2_pauli,7,-107.65206967910981,0.002049705716274275,False,0.8100312910100911,7,True,False,False,100,7,1e-06,2.2086041440161353e-08,0.0,"[-107.65192454078945, -107.65205593963897, -107.65206540114818, -107.65206934188926, -107.65206941626444, -107.65206965702377, -107.65206967910981]","[0.11899295801413245, 0.10672862498904578, 0.1081415829830803, 0.10830654200981371, 0.11174170798039995, 0.10944891700637527, 0.10460800002329051]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter001_beam_fiedler,block2_pauli,8,-107.65274448445538,0.0013749003707062002,True,0.7884177079831716,8,True,False,False,100,7,1e-06,4.207265646982705e-09,0.0,"[-107.65256940122225, -107.6527296480466, -107.65274641322142, -107.65274660955922, -107.65274658241944, -107.65274448866265, -107.65274448445538]","[0.1471883749763947, 0.09852999998838641, 0.10198674999992363, 0.09845900000073016, 0.10343045799527317, 0.09870541701093316, 0.09785945800831541]",N2_eqm,1,beam_fiedler,pyblock2_qubit_reference_dmrg,-107.65411938482609
