frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,iteration,representation
N2_corr_iter005_beam_fiedler,block2_pauli,1,-107.51160074020956,0.07003418197287203,False,0.7651660839910619,1,True,False,False,100,8,1e-06,1.6990378526315908e-07,0.0,"[-107.54799541526316, -107.50783231563818, -107.5116772046551, -107.51169875815916, -107.51160855054614, -107.51161032571662, -107.51160057030577, -107.51160074020956]","[0.0953793329972541, 0.09150666699861176, 0.09458595799515024, 0.09386954198998865, 0.09053295799822081, 0.09044849999190774, 0.08636970900988672, 0.0835516670049401]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,2,-107.5485652959122,0.03306962627023324,False,0.6724322079971898,2,True,False,False,100,7,1e-06,2.3877618104961584e-08,0.0,"[-107.56059603235444, -107.55211678521962, -107.54767711833989, -107.5485103221569, -107.54851550939034, -107.54856527203458, -107.5485652959122]","[0.094009874999756, 0.10455595899838954, 0.08551008299400564, 0.07578462500532623, 0.10829750000266358, 0.08607750000373926, 0.07380579199525528]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,3,-107.56613477941758,0.015500142764850011,False,0.7191406250058208,3,True,False,False,100,8,1e-06,3.5848481161337986e-07,0.0,"[-107.5649511382821, -107.56564033204755, -107.56614230326747, -107.56616799177533, -107.56613478040951, -107.56613704327881, -107.56613442093277, -107.56613477941758]","[0.1020496249984717, 0.08220912500109989, 0.08052383300673682, 0.08394525000767317, 0.0822432090062648, 0.09286404198792297, 0.07749300000432413, 0.07691400000476278]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,4,-107.57040774501195,0.011227177170482605,False,0.7465228340006433,4,True,False,False,100,7,1e-06,6.6669561249455e-07,0.0,"[-107.56821845470641, -107.57021969890704, -107.57036163156849, -107.57038519637594, -107.5704004603857, -107.57040707831634, -107.57040774501195]","[0.11210670799482614, 0.10244441599934362, 0.09191024999017827, 0.0939246249909047, 0.09566362500481773, 0.09689604199957103, 0.10760416700213682]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,5,-107.57546252656823,0.006172395614200354,False,0.7743582499970216,5,True,False,False,100,7,1e-06,6.472201903306996e-07,0.0,"[-107.57309481825001, -107.5740815106877, -107.57548798258696, -107.57547094651697, -107.57547573361961, -107.57546187934804, -107.57546252656823]","[0.11443491598765831, 0.10647379199508578, 0.10209595900960267, 0.10960216699459124, 0.10283287499623839, 0.10316504200454801, 0.09528841699648183]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,6,-107.57774504916586,0.003889873016575507,False,0.9227492089994485,6,True,False,False,100,8,1e-06,1.6776239419868944e-07,0.0,"[-107.57671666084717, -107.57762611707076, -107.57771582633401, -107.57772830018814, -107.5777427565173, -107.5777424179011, -107.57774521692825, -107.57774504916586]","[0.12078812498657499, 0.10954033301095478, 0.11169429100118577, 0.11119266599416733, 0.10841712499677669, 0.11173804099962581, 0.1010625000053551, 0.10824387500179]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,7,-107.57894855512424,0.002686367058188921,False,1.0842879160045413,7,True,False,False,100,9,1e-06,1.7800392981826008e-07,0.0,"[-107.57840383831952, -107.57896657622251, -107.5789675614237, -107.5789642757511, -107.57895676567753, -107.5789513740065, -107.57895030487552, -107.57894873312817, -107.57894855512424]","[0.12545983299787622, 0.11775920899526682, 0.1158960409957217, 0.11713383400638122, 0.1172997500107158, 0.1177927500102669, 0.1104967499995837, 0.11152224999386817, 0.11017991599510424]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,8,-107.57957087788255,0.0020640442998853814,False,0.78875429200707,8,True,False,False,100,7,1e-06,3.6344879106309236e-07,0.0,"[-107.57937458697722, -107.57946833096426, -107.57956906949036, -107.57957242651986, -107.57957058102994, -107.57957124133134, -107.57957087788255]","[0.1265750000020489, 0.10420429200166836, 0.10522712499368936, 0.10457204200793058, 0.1055120840028394, 0.10395670800062362, 0.09965904199634679]",N2_corr,5,beam_fiedler
N2_corr_iter005_beam_fiedler,block2_pauli,9,-107.58006191992624,0.001573002256193945,True,2.1598080410039984,9,True,False,False,100,16,1e-06,9.521512680521482e-07,0.0,"[-107.57967064266016, -107.57983897236292, -107.57991121239962, -107.57990983586296, -107.57992485500665, -107.57993112263415, -107.57996352744074, -107.57997955088905, -107.58000182200716, -107.58002117589623, -107.58003471976035, -107.58003916122334, -107.5800534875356, -107.58005563057642, -107.58006096777497, -107.58006191992624]","[0.14308662500116043, 0.1382018330041319, 0.13468333300261293, 0.13338787500106264, 0.13645166700007394, 0.13453458399453666, 0.13112258299952373, 0.12896800000453368, 0.12746854100259952, 0.12901574998977594, 0.12931212500552647, 0.12922070900094695, 0.12987654200696852, 0.1285945000126958, 0.1295695830049226, 0.12986383399402257]",N2_corr,5,beam_fiedler
