MPS Bond Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1.961164715460401e-07,-2.4380497620777354e-13,-2.464695114668759e-13,-2.464695114668759e-13,-2.371436380600178e-13,-2.4202861936837197e-13,-2.531308496146318e-13,-2.531308496146318e-13,-2.16715534406901e-13,-2.4735768988657666e-13,-2.2826185386301034e-13,-2.3181456754181326e-13,-2.384759056895689e-13,-2.4824586830627744e-13
2,3.775253357004543e-07,1.9611644245821396e-07,-2.446931546274743e-13,-2.4913404672597823e-13,-2.384759056895689e-13,-2.54463117244183e-13,-2.52242671194931e-13,-2.469136006767263e-13,-2.0961010704929547e-13,-2.3092638912211253e-13,-2.1449508835764926e-13,-2.2826185386301034e-13,-2.3803181647971853e-13,-2.469136006767263e-13
3,0.00894795933848148,0.008947315093785812,0.008947933796589619,-2.540190280343326e-13,-2.353672812206163e-13,-2.5845992013283666e-13,-2.5623947408358463e-13,-2.6201263381163994e-13,-2.1760371282660172e-13,-2.4291679778807275e-13,-2.207123372955542e-13,-2.2426505097435705e-13,-2.371436380600178e-13,-2.464695114668759e-13
4,0.01712477868638962,0.017124328513567932,0.01712375408470292,0.008947933796689525,-2.371436380600178e-13,-2.5757174171313583e-13,-2.5357493882448223e-13,-2.6423307986089197e-13,-2.1982415887585347e-13,-2.4780177909642703e-13,-2.287059430728607e-13,-2.3225865675166363e-13,-2.398081733191201e-13,-2.4824586830627744e-13
5,0.01838399022160323,0.018383540080592575,0.01838296570298869,0.01712375408469669,0.00894793379648593,0.41522943391049516,0.4152294339120673,0.4152294339097865,0.4152294339106178,0.41522943390983724,0.4152294339113368,0.41522943391091854,0.41522943391157885,0.4152294339112103
6,0.018170035224208604,0.01816963046634719,0.018169108887993658,0.01816910888798939,0.017123754084706844,0.42416137964753603,0.4162647868506311,0.41626478684835233,0.4162647868491856,0.416264786848397,0.4162647868499083,0.41626478684948454,0.4162647868501451,0.41626478684977364
7,0.6489570134816081,0.6489566448203258,0.6489561523046453,0.6489561523044617,0.018169108888000326,0.43196007276227,0.4251954767191731,0.42519679119620696,0.4251967911971037,0.42519679119622217,0.4251967911976411,0.42519679119743836,0.4251967911979577,0.4251967911977714
8,1.148097221558158,1.14809696337683,1.1480966483730024,1.1480966483730541,0.6478740887680063,0.43281107587018913,0.4328110758717607,0.432989488839375,0.4283801591174902,0.4283801591167932,0.428380159118192,0.4283801591178455,0.42838015911852145,0.4283801591181542
9,1.6879195545870629,1.687919443838485,1.6879190981783823,1.687919098178794,1.242809485579148,1.06973849285501,1.0697384928565357,0.4314004889609873,0.427189496431912,0.42718949643119647,0.4271894964325673,0.42718949643227716,0.42718949643291804,0.4271894964325965
10,1.5780017084776619,1.5780016997000312,1.578001669682194,1.5780016696822958,1.5700076233970695,1.2353089890681452,1.2353089890685036,1.060594627715213,0.42532747462652265,0.425327474625801,0.42532747462716314,0.42532747462689213,0.4253274746275206,0.4253274746272164
11,1.6769982131775159,1.6769982123967742,1.6769981958094133,1.6769981958094404,1.6744469564736222,1.2272549680143834,1.227254968014487,1.0532564797990858,1.0532564797998647,1.053256479799226,1.0532564798005206,1.0532564798002229,1.0532564798008481,1.0532564798005577
12,1.132104314182399,1.1321043141824132,1.1321043000618678,1.132104300061846,1.1301858408926184,0.6964532317405822,0.6964532317413926,0.6964532317401897,0.6964532317402475,0.6964532317409492,0.6964532317401059,0.6964532317406419,0.696453231740792,0.6964532317407419
13,0.6310079062707967,0.6310079062707952,0.6310079062706806,0.6310079062710066,0.6310079062575333,0.6292799510605938,0.6292799510609679,0.629279951060826,0.6292799510608371,0.6292799510607359,0.6292799510609461,0.6292799510607396,0.6292799510608589,0.6292799510607323
