system,symmetry_tag,synthesis_basis,num_symmetries,num_gates,num_cnot,num_single_qubit_gates,max_cut_entropy,sum_cut_entropy,cut_entropies,dmrg_bd
H2O_corr,BS N/2 Comm,X,7,42,21,21,1.6790105294160895,7.853185619844598,"[-2.16715534406901e-13, -2.1405099914779892e-13, -2.2204460492510527e-13, -2.2115642650540457e-13, 0.0012622128756890508, 0.5184650661999727, 0.5184653046731577, 0.5272941439446829, 1.138482253818141, 1.6790105294160895, 1.5624277658622214, 1.2767705246640801, 0.6310078183914374]",8
H2O_corr,BS N/2 Comm,Z,7,21,21,0,1.6790105294160915,7.853185619844579,"[-2.2426505097435705e-13, -2.2204460492510527e-13, -2.2115642650540457e-13, -2.2337687255465634e-13, 0.0012622128756870567, 0.5184650661999712, 0.5184653046731564, 0.5272941439446824, 1.138482253818141, 1.6790105294160915, 1.5624277658622243, 1.276770524664081, 0.631007818391436]",8
H2O_corr,BS N Comm,X,14,62,32,30,0.5791675003044008,3.101279766003373,"[-2.1938006966600313e-13, -2.1360690993794858e-13, -2.158273559872003e-13, -2.1938006966600313e-13, 0.001262212875689495, 0.0012625252124437078, 0.0012643959119721278, 0.5193988305366185, 0.526712774424319, 0.5306625595814864, 0.5298779395280642, 0.5791675003044008, 0.4116710276292471]",4
H2O_corr,BS N Comm,Z,14,34,32,2,0.5791675003043979,3.101279766003331,"[-2.238209617645067e-13, -2.1715962361675135e-13, -2.2026824808570383e-13, -2.2337687255465634e-13, 0.0012622128756857262, 0.0012625252124397164, 0.001264395911967915, 0.5193988305366164, 0.5267127744243171, 0.5306625595814838, 0.529877939528062, 0.5791675003043979, 0.4116710276292448]",4
N2frozen_corr,BS N/2 Comm,X,8,61,37,24,0.6429409349672918,3.056475247291645,"[-7.54951656745115e-15, -5.329070518200794e-15, -6.217248937900935e-15, -8.437694987151297e-15, 0.040267767338500675, 0.08411981652013692, 0.09125082438872173, 0.1215841265055671, 0.2061251267919027, 0.5044079498268146, 0.6429409349672918, 0.5859192040986664, 0.4750334053405446, 0.19950095077121444, 0.10532514074231233]",18
N2frozen_corr,BS N/2 Comm,Z,8,37,37,0,0.642940934967291,3.056475247291606,"[-2.6645352591003863e-15, -5.773159728050864e-15, -1.598721155460264e-14, -9.769962616701521e-15, 0.0402677673384955, 0.08411981652013185, 0.09125082438871875, 0.1215841265055626, 0.20612512679189846, 0.504407949826812, 0.642940934967291, 0.5859192040986649, 0.475033405340543, 0.19950095077121277, 0.10532514074230911]",18
N2frozen_corr,BS N Comm,X,16,77,42,35,0.8289362328895429,3.231639320702841,"[6.661338147750933e-16, -4.440892098500629e-16, -5.329070518200794e-15, -7.105427357601078e-15, 0.0402677673385021, 0.08411981652013749, 0.0912508243887236, 0.12158412650556778, 0.14222721580388975, 0.19657628096748095, 0.18390123990471172, 0.3820629020155075, 0.4704099721489579, 0.8289362328895429, 0.6903029422198314]",12
N2frozen_corr,BS N Comm,Z,16,47,42,5,0.5578314942485256,2.6765430091156044,"[-6.217248937900935e-15, -1.865174681370315e-14, -5.329070518200794e-15, -1.2878587085652065e-14, 0.040267767338498295, 0.084119816520136, 0.0912508243887194, 0.12158412650556435, 0.1422272158038864, 0.1965762809674766, 0.18390123990470725, 0.38206290201550397, 0.4704099721489552, 0.5578314942485256, 0.40631136927367445]",12
