frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
seniority_Nover2,block2_pauli,1,-195.98138650749206,0.002751513079005008,False,0.25175704199500615,1,True,False,False,100,3,1e-06,0.0,0.0,"[-195.9841380205703, -195.98138650749206, -195.98138650749206]","[0.07632283300335985, 0.07248391699977219, 0.07390908299566945]",F2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,2,-195.98316840835867,0.0009696122124012163,True,0.2432998750009574,2,True,False,False,100,3,1e-06,1.8683863345358986e-09,0.0,"[-195.9841380205703, -195.98316840649028, -195.98316840835867]","[0.07250362500053598, 0.07510054100566776, 0.06917558300483506]",F2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,1,-195.9725703153124,0.0006621718226256235,True,0.28053599999839207,1,True,False,False,100,3,1e-06,0.0,0.0,"[-195.97301152181797, -195.9725703153124, -195.9725703153124]","[0.09431129099539248, 0.07233279200590914, 0.07199249999393942]",F2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,1,-195.96967857808295,0.0799593451656051,False,0.23321208400011528,1,True,False,False,100,3,1e-06,0.0,0.0,"[-196.049637923249, -195.96967857808295, -195.96967857808295]","[0.07005741600005422, 0.06577133300015703, 0.06881583300128113]",F2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,2,-196.0465593422635,0.0030785809850613077,False,0.23643608300335472,2,True,False,False,100,3,1e-06,3.956245109293377e-09,0.0,"[-196.049637923249, -196.04655933830725, -196.0465593422635]","[0.06895708400406875, 0.06639666700357338, 0.06953641700238222]",F2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,3,-196.04959903043712,3.8892811431878727e-05,True,0.23388620899640955,3,True,False,False,100,3,1e-06,3.0061357847444015e-09,0.0,"[-196.049637923249, -196.04959903344326, -196.04959903043712]","[0.06975887500448152, 0.07335333299852209, 0.0629402080012369]",F2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,1,-74.48094107637495,0.272849792028353,False,0.22446550000313437,1,True,False,False,100,3,1e-06,0.0,0.0,"[-74.6872716677062, -74.48094107637495, -74.48094107637495]","[0.11348145800002385, 0.03708500000357162, 0.02904083300381899]",H2O_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,2,-74.72081064479,0.03298022361329345,False,0.327639959003136,2,True,False,False,100,4,1e-06,1.4210854715202004e-14,0.0,"[-74.75012167592416, -74.60537543931625, -74.72081064478999, -74.72081064479]","[0.18956695800443413, 0.038590625001234, 0.036050417002115864, 0.029162040998926386]",H2O_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,3,-74.72126465429454,0.032526214108756335,False,0.452584749997186,3,True,False,False,100,6,1e-06,5.887015817052088e-07,0.0,"[-74.7509502406982, -74.69620564631921, -74.7207392519159, -74.72094052586125, -74.72126524299613, -74.72126465429454]","[0.255234708005446, 0.03129362499748822, 0.03228629200020805, 0.029214792004495393, 0.03578387499874225, 0.031767583001055755]",H2O_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,4,-74.75223200181162,0.0015588665916794753,True,0.44319083399750525,4,True,False,False,100,4,1e-06,5.7838178690872155e-12,0.0,"[-74.75227782878159, -74.7520483485225, -74.75223200180584, -74.75223200181162]","[0.2899318330019014, 0.038861916997120716, 0.042367750000266824, 0.03976712500298163]",H2O_corr,Seniority N/2,False
