frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-107.29940953283321,0.15574606487254528,False,0.16115241599618457,1,True,False,False,100,2,1e-06,0.0,0.0,"[-107.29940953283321, -107.29940953283321]","[0.06596649999846704, 0.06880083400028525]",N2_diss,,False
raw_qubit,block2_pauli,2,-107.29940953283207,0.15574606487368214,False,0.23421779099589912,2,True,False,False,100,2,1e-06,2.842170943040401e-14,0.0,"[-107.29940953283204, -107.29940953283207]","[0.08732487499946728, 0.11105920800036984]",N2_diss,,False
raw_qubit,block2_pauli,3,-107.29940953279747,0.15574606490828558,False,0.18867999999929452,3,True,False,False,100,2,1e-06,1.2789769243681803e-13,0.0,"[-107.29940953279734, -107.29940953279747]","[0.07755970799917122, 0.07293079100054456]",N2_diss,,False
raw_qubit,block2_pauli,4,-107.29940953281695,0.1557460648888025,False,0.16763362500205403,4,True,False,False,100,2,1e-06,1.1368683772161603e-13,0.0,"[-107.29940953281684, -107.29940953281695]","[0.08643220799422124, 0.04869966699334327]",N2_diss,,False
raw_qubit,block2_pauli,5,-107.30470350049163,0.1504520972141279,False,1.2094743329944322,5,True,False,False,100,18,1e-06,2.395406255573107e-07,0.0,"[-107.2998811480359, -107.30016072629648, -107.30021991826172, -107.30023322771618, -107.30023875071039, -107.30024695382102, -107.30028291197024, -107.30050120892224, -107.3013659610973, -107.30180148881473, -107.30183950686093, -107.30184248193139, -107.30194600046332, -107.30462954381917, -107.30469930987988, -107.3047017312501, -107.304703260951, -107.30470350049163]","[0.09991779200208839, 0.05775562499911757, 0.05532083300204249, 0.04833399999915855, 0.049586291002924554, 0.050666584000282455, 0.05605508299777284, 0.054244584003754426, 0.062255415999970865, 0.06062587500491645, 0.054803917002573144, 0.05513345899817068, 0.07762524999998277, 0.08594841699959943, 0.059031374999904074, 0.06543391600280302, 0.13107441700412892, 0.051210582998464815]",N2_diss,,False
raw_qubit,block2_pauli,6,-107.30184274247654,0.1533128552292169,False,0.16652225000143517,6,True,False,False,100,2,1e-06,2.8110689243021625e-07,0.0,"[-107.30184246136965, -107.30184274247654]","[0.0842742079985328, 0.05255095800384879]",N2_diss,,False
raw_qubit,block2_pauli,7,-107.42574504396293,0.029410553742820866,False,0.6167787910017068,7,True,False,False,100,9,1e-06,1.3938958431936044e-08,0.0,"[-107.301841919466, -107.30200783585396, -107.30462926465543, -107.3132497371235, -107.39629201414914, -107.42552685813077, -107.42573825886167, -107.42574503002398, -107.42574504396293]","[0.09092025000427384, 0.05535287499515107, 0.0593513330022688, 0.06603204199927859, 0.06567820900090737, 0.0629735830007121, 0.06033450000541052, 0.06816854199860245, 0.05830837500252528]",N2_diss,,False
raw_qubit,block2_pauli,8,-107.30184274353992,0.15331285416583285,False,0.17090966600517277,8,True,False,False,100,2,1e-06,4.6214846349812433e-07,0.0,"[-107.30184228139146, -107.30184274353992]","[0.0930760420014849, 0.052415749996725935]",N2_diss,,False
raw_qubit,block2_pauli,9,-107.38643919990689,0.06871639779886607,False,0.7435905000020284,9,True,False,False,100,9,1e-06,2.2089032825078903e-07,0.0,"[-107.30434805126528, -107.30470181203944, -107.30572729047046, -107.30647538054134, -107.34857494092113, -107.38614916819719, -107.38643560023831, -107.38643897901656, -107.38643919990689]","[0.09936062499764375, 0.060578917000384536, 0.0657364999933634, 0.06752316700294614, 0.06683699999848614, 0.09585533299832605, 0.11785958399559604, 0.0711673339974368, 0.06915116599702742]",N2_diss,,False
raw_qubit,block2_pauli,10,-107.30470181687434,0.1504537808314126,False,0.20445479200134287,10,True,False,False,100,2,1e-06,4.4390088760337676e-07,0.0,"[-107.30470137297345, -107.30470181687434]","[0.111058291993686, 0.06002491699473467]",N2_diss,,False
raw_qubit,block2_pauli,12,-107.42880746446889,0.02634813323686558,False,1.1806594169975142,12,True,False,False,100,14,1e-06,6.558261134159693e-07,0.0,"[-107.30440512897573, -107.30469820601678, -107.30470178892233, -107.31480649551395, -107.34474919330127, -107.42167679905928, -107.42845733273732, -107.42872402265863, -107.42875886836798, -107.42879759902561, -107.4288025034189, -107.42880561323582, -107.42880680864278, -107.42880746446889]","[0.12635900000168476, 0.07148470799438655, 0.07119304099614965, 0.08447724999859929, 0.08642104099999415, 0.08595991599577246, 0.07962862500426127, 0.07820783399802167, 0.0867459580040304, 0.08172779099550098, 0.0761231670039706, 0.07381116599572124, 0.07331845800217707, 0.07312995800020872]",N2_diss,,False
raw_qubit,block2_pauli,14,-107.30470181781033,0.15045377989542885,False,0.26180358300189255,14,True,False,False,100,3,1e-06,1.6871751995495288e-08,0.0,"[-107.30434726498643, -107.30470180093857, -107.30470181781033]","[0.08493029099918203, 0.07605758299905574, 0.07432616699952632]",N2_diss,,False
raw_qubit,block2_pauli,16,-107.38643930098048,0.06871629672527035,False,0.5001829589964473,16,True,False,False,100,5,1e-06,4.365798531580367e-07,0.0,"[-107.35777884625097, -107.38427737958563, -107.38617068754616, -107.38643886440063, -107.38643930098048]","[0.09047333300259197, 0.08779075000347802, 0.10142708299827063, 0.10056570800225018, 0.09250179199443664]",N2_diss,,False
raw_qubit,block2_pauli,18,-107.42969302665779,0.02546257104796723,False,1.1870590000035008,18,True,False,False,100,9,1e-06,2.2608955418945698e-07,0.0,"[-107.35861526466113, -107.38426238879654, -107.40032744240634, -107.42901277593452, -107.4295505671769, -107.42968426010009, -107.42969178699806, -107.42969280056823, -107.42969302665779]","[0.10334037499706028, 0.11459112500597257, 0.1297655840025982, 0.1667620000007446, 0.13826425000297604, 0.14151537499856204, 0.12720583399641328, 0.12006204199860804, 0.11640712500229711]",N2_diss,,False
raw_qubit,block2_pauli,20,-107.42969075708896,0.025464840616791662,False,1.7182953340015956,20,True,False,False,100,12,1e-06,5.440780626031483e-07,0.0,"[-107.35874018885708, -107.38425962292953, -107.38566179061246, -107.41924012627746, -107.428779385499, -107.42949837004014, -107.4296303095566, -107.42966330017927, -107.42967536023899, -107.42968546769089, -107.4296902130109, -107.42969075708896]","[0.10993720800615847, 0.11971020900091389, 0.13495162499748403, 0.20687520800129278, 0.15623970800515963, 0.15233183300006203, 0.14514820800104644, 0.14125537499785423, 0.13114679099817295, 0.12567308299912838, 0.13653691699437331, 0.12816804100293666]",N2_diss,,False
