system,symmetry_class,dataset_tag,n_qubits,n_symmetries,fci_energy,Z0_l1,V0_l1,V_l1,total_l1
H4chain_eqm,BS (N/2),BS N/2 Comm,8,4,-2.1803166143238575,4.73576551214134,1.5452484791064247,1.3759468476801096,7.6569608389278745
H4chain_eqm,HCT (N/2),HCT N/2 Comm,8,4,-2.1803166143238575,4.73576551214134,1.5452484791064247,1.3759468476801096,7.6569608389278745
H4chain_eqm,Seniority,SEN N/2 Comm,8,4,-2.1803166143238575,4.73576551214134,0.7601892758788443,2.16100605090769,7.6569608389278745
H4chain_corr,BS (N/2),BS N/2 Comm,8,4,-1.8977806459898654,0.8069317277730772,1.8135817722325829,2.3767200235669015,4.997233523572561
H4chain_corr,HCT (N/2),HCT N/2 Comm,8,4,-1.8977806459898654,2.26976291308283,1.79953101258428,0.9279395979054512,4.997233523572561
H4chain_corr,Seniority,SEN N/2 Comm,8,4,-1.8977806459898654,2.26976291308283,0.8681769059296058,1.8592937045601259,4.997233523572562
H4chain_diss,BS (N/2),BS N/2 Comm,8,4,-1.8672913724013778,1.8550290356904264,2.0044843951346505,0.5073935510533414,4.366906981878418
H4chain_diss,HCT (N/2),HCT N/2 Comm,8,4,-1.8672913724013778,1.8550290356904264,2.0044843951346505,0.5073935510533414,4.366906981878418
H4chain_diss,Seniority,SEN N/2 Comm,8,4,-1.8672913724013778,1.8550290356904264,0.9653802230234776,1.546497723164514,4.366906981878419
H4rect_corr,BS (N/2),BS N/2 Comm,8,4,-1.9151065495118031,4.4324890124128284,1.5061567071370017,0.0,5.938645719549831
H4rect_corr,HCT (N/2),HCT N/2 Comm,8,4,-1.9151065495118031,4.4324890124128284,1.5061567071370017,0.0,5.938645719549831
H4rect_corr,Seniority,SEN N/2 Comm,8,4,-1.9151065495118031,4.4324890124128284,0.6577023254718036,0.8484543816651977,5.93864571954983
H4rect_diss,BS (N/2),BS N/2 Comm,8,4,-2.201825507430824,3.4398317811077375,1.9678527306924223,0.0,5.407684511800159
H4rect_diss,HCT (N/2),HCT N/2 Comm,8,4,-2.201825507430824,3.4398317811077375,1.9678527306924223,0.0,5.407684511800159
H4rect_diss,Seniority,SEN N/2 Comm,8,4,-2.201825507430824,3.4398317811077375,0.8627612922143268,1.1050914384780957,5.40768451180016
LIH_eqm,BS (N/2),BS N/2 Comm,12,6,-7.882324378883542,9.77807291598877,0.8221633643598981,1.741128933107365,12.341365213456033
LIH_eqm,HCT (N/2),HCT N/2 Comm,12,6,-7.882324378883542,9.77807291598877,2.052212830896219,0.5110794665710445,12.341365213456033
LIH_eqm,Seniority,SEN N/2 Comm,12,6,-7.882324378883542,9.77807291598877,0.41233611071979853,2.1509561867474645,12.341365213456033
LIH_corr,BS (N/2),BS N/2 Comm,12,6,-7.784278178715401,8.65587756335118,3.0144496741951103,0.4183618263904533,12.088689063936743
LIH_corr,HCT (N/2),HCT N/2 Comm,12,6,-7.784278178715401,8.65587756335118,3.0144496741951103,0.4183618263904533,12.088689063936743
LIH_corr,Seniority,SEN N/2 Comm,12,6,-7.784278178715401,8.65587756335118,0.5139825559067361,2.918828944678828,12.088689063936744
H2O_eqm,BS (N/2),BS N/2 Comm,14,7,-75.01985479624443,55.378343521183034,12.707246456961936,3.8056942945271164,71.89128427267208
H2O_eqm,HCT (N/2),HCT N/2 Comm,14,7,-75.01985479624443,55.378343521183034,12.221808771656029,4.291131979833022,71.89128427267208
H2O_eqm,Seniority,SEN N/2 Comm,14,7,-75.01985479624443,55.378343521183034,1.4305536003796178,15.082387151109433,71.89128427267208
H2O_corr,BS (N/2),BS N/2 Comm,14,7,-74.7537908684033,51.73985277057645,8.08147841490903,7.760669125163075,67.58200031064855
H2O_corr,HCT (N/2),HCT N/2 Comm,14,7,-74.7537908684033,51.73985277057645,11.929676576313831,3.912470963758272,67.58200031064855
H2O_corr,Seniority,SEN N/2 Comm,14,7,-74.7537908684033,51.73985277057645,1.5482033683919851,14.293944171680119,67.58200031064855
H2O_diss,BS (N/2),BS N/2 Comm,14,7,-74.73773981736049,50.50240777582717,1.838879645149967,1.9435884432766863,54.28487586425383
H2O_diss,HCT (N/2),HCT N/2 Comm,14,7,-74.73773981736049,50.50240777582717,2.732575515215543,1.0498925732111108,54.28487586425383
H2O_diss,Seniority,SEN N/2 Comm,14,7,-74.73773981736049,50.50240777582717,1.1451241894876059,2.637343898939047,54.28487586425382
N2frozen_eqm,BS (N/2),BS N/2 Comm,16,8,-107.67708539161396,25.138667895561056,4.06093586953212,8.111896355245555,37.311500120338735
